Title,Note,URL,Tags,Comment
,,,,
+7 Farm Store – Locally Produced Food Hub,,https://www.google.com/maps/place/%2B7+Farm+Store+%E2%80%93+Locally+Produced+Food+Hub/data=!4m2!3m1!1s0x87520599b02b0f09:0x46b264679e546dd4,,
Powder Restaurant,,https://www.google.com/maps/place/Powder+Restaurant/data=!4m2!3m1!1s0x87526c368b125e43:0x36d9aab2e8f8b3ad,,
Mountain Town Olive Oil,,https://www.google.com/maps/place/Mountain+Town+Olive+Oil/data=!4m2!3m1!1s0x875272bd3b7f9b51:0xf7ae791175363a40,,
Free Living Co,,https://www.google.com/maps/place/Free+Living+Co/data=!4m2!3m1!1s0x87526d20499375d1:0x6ea9dd772da5af0d,,
Cupla Coffee,,https://www.google.com/maps/place/Cupla+Coffee/data=!4m2!3m1!1s0x87526df60e54db21:0xaee2dc086d95e538,,
Protein Foundry,,https://www.google.com/maps/place/Protein+Foundry/data=!4m2!3m1!1s0x87526dcf928a8e2f:0xefa0cefc4e02ba55,,
Vessel Kitchen,,https://www.google.com/maps/place/Vessel+Kitchen/data=!4m2!3m1!1s0x87526c75ee9afb65:0x50d75455b7d82f2,,
fulFILLed Lifestyle Co.,,https://www.google.com/maps/place/fulFILLed+Lifestyle+Co./data=!4m2!3m1!1s0x87526bd2b32ecdeb:0xa797c7b4c2e55d86,,
Hugo Coffee Shop,,https://www.google.com/maps/place/Hugo+Coffee+Shop/data=!4m2!3m1!1s0x87526c75211683f5:0xc7ec82813c88f04,,
Union Patisserie,,https://www.google.com/maps/place/Union+Patisserie/data=!4m2!3m1!1s0x875273139b1ab9cd:0x3e1bea948f3bb830,,
Windy Ridge Bakery,,https://www.google.com/maps/place/Windy+Ridge+Bakery/data=!4m2!3m1!1s0x87526d61243db6e3:0xb3eea53a85cc7710,,
Harvest,,https://www.google.com/maps/place/Harvest/data=!4m2!3m1!1s0x875272987790cc8b:0x4beba6a175aaedf6,,
Five5eeds,,https://www.google.com/maps/place/Five5eeds/data=!4m2!3m1!1s0x87526d6514b214bb:0xd7434fc20a45abcb,,
