Title,Note,URL,Tags,Comment
,,,,
Privilege (프리빌리지 바),,https://www.google.com/maps/place/Privilege+(%ED%94%84%EB%A6%AC%EB%B9%8C%EB%A6%AC%EC%A7%80+%EB%B0%94)/data=!4m2!3m1!1s0x357ca37f9cb6151f:0xe968f5dcb3ca262a,,
Ugly Society,,https://www.google.com/maps/place/Ugly+Society/data=!4m2!3m1!1s0x357ca24ebc7bbe03:0x61a422b1e827bfb7,,
나이트사운즈,,https://www.google.com/maps/place/%EB%82%98%EC%9D%B4%ED%8A%B8%EC%82%AC%EC%9A%B4%EC%A6%88/data=!4m2!3m1!1s0x357ca3ccf61be629:0xc1b44b6cda97d1e,,
클럽 잭리빈,,https://www.google.com/maps/place/%ED%81%B4%EB%9F%BD+%EC%9E%AD%EB%A6%AC%EB%B9%88/data=!4m2!3m1!1s0x357ca33f72f1d929:0x703cbf5e4be7de5b,,
Times,,https://www.google.com/maps/place/Times/data=!4m2!3m1!1s0x357ca38415a6f2f3:0xd561ac7dd972a075,,
바제라늄(Bar Geranium),,https://www.google.com/maps/place/%EB%B0%94%EC%A0%9C%EB%9D%BC%EB%8A%84(Bar+Geranium)/data=!4m2!3m1!1s0x357ca58d2af96f0d:0x3f730e4428cf0f0d,,
Alice Cheongdam,,https://www.google.com/maps/place/Alice+Cheongdam/data=!4m2!3m1!1s0x357ca4786f2724d5:0x1de641d1e8b3b871,,
Glam Lounge,,https://www.google.com/maps/place/Glam+Lounge/data=!4m2!3m1!1s0x357ca24a520fcc2d:0xaba6c35f3490cee0,,
Le Chamber,,https://www.google.com/maps/place/Le+Chamber/data=!4m2!3m1!1s0x357ca4786b6a7feb:0xb43dbb063dbfc295,,
The Timber House Park Hyatt Seoul,,https://www.google.com/maps/place/The+Timber+House+Park+Hyatt+Seoul/data=!4m2!3m1!1s0x357ca440f5e5c88f:0x1672bbd888b01c1b,,
SOHO Lounge Seoul,,https://www.google.com/maps/place/SOHO+Lounge+Seoul/data=!4m2!3m1!1s0x357ca300168711ab:0x9a41497fb6dafd7f,,
PUSSYFOOT SALON,,https://www.google.com/maps/place/PUSSYFOOT+SALON/data=!4m2!3m1!1s0x357ca3b0d7530a41:0xe83cc690266a578b,,
Rooftop Kloud,,https://www.google.com/maps/place/Rooftop+Kloud/data=!4m2!3m1!1s0x357ca3fe637870fd:0x13b8e9ddb026767f,,
Namsan Sool Club,,https://www.google.com/maps/place/Namsan+Sool+Club/data=!4m2!3m1!1s0x357ca3f780ca4d37:0xfbc8f976184f2eec,,
Bar Cham,,https://www.google.com/maps/place/Bar+Cham/data=!4m2!3m1!1s0x357ca3dfc3a164c5:0x8e54ebaac81ccd4b,,
ZEST SEOUL,,https://www.google.com/maps/place/ZEST+SEOUL/data=!4m2!3m1!1s0x357ca5f1fb7ae3f5:0x4c36d81e0c9621e5,,
