Title,Note,URL,Tags,Comment
,,,,
glänta Kyoto Ninenzaka,Custom rings ,https://www.google.com/maps/place/gl%C3%A4nta+Kyoto+Ninenzaka/data=!4m2!3m1!1s0x60010960d459ecef:0xc69c5a541ec2f693,,
glänta Kyoto Sanjo Kawaramachi,Custom rings ,https://www.google.com/maps/place/gl%C3%A4nta+Kyoto+Sanjo+Kawaramachi/data=!4m2!3m1!1s0x6001099c523ca143:0xf052c63246054a39,,
KOMEHYO,,https://www.google.com/maps/place/KOMEHYO/data=!4m2!3m1!1s0x60188be0f0119fa3:0xee21f4b01572003e,,
JINS LaLaport Toyosu store,Rx glasses ,https://www.google.com/maps/place/JINS+LaLaport+Toyosu+store/data=!4m2!3m1!1s0x60188998ad95e545:0x1e6672b0e77617b1,,
JINS,Rx glasses ,https://www.google.com/maps/place/JINS/data=!4m2!3m1!1s0x60188be5721c191d:0x8651b10f9db9bbab,,
JINS,Rx glasses,https://www.google.com/maps/place/JINS/data=!4m2!3m1!1s0x601889f853833f59:0x7970492a265d8dad,,
JINS,,https://www.google.com/maps/place/JINS/data=!4m2!3m1!1s0x60188ca91368ded3:0x9e2c5d9dca932835,,
Takeshita Street Square,,https://www.google.com/maps/place/Takeshita+Street+Square/data=!4m2!3m1!1s0x60188cbb2461011b:0x75e49439227a27d3,,
Vivienne Westwood Red Label,,https://www.google.com/maps/place/Vivienne+Westwood+Red+Label/data=!4m2!3m1!1s0x60188ca48c15f5ed:0xaab4eb71b9cdce75,,
OttersFamily Otter Petting,,https://www.google.com/maps/place/OttersFamily+Otter+Petting/data=!4m2!3m1!1s0x60188d4648d226cf:0x5dc04c5680ee6daa,,
Kurkku Fields,,https://www.google.com/maps/place/Kurkku+Fields/data=!4m2!3m1!1s0x60180949bdd49f1b:0x617bb5df7ae332f3,,
teamLab Borderless: MORI Building DIGITAL ART MUSEUM,,https://www.google.com/maps/place/teamLab+Borderless:+MORI+Building+DIGITAL+ART+MUSEUM/data=!4m2!3m1!1s0x601889fad49a9443:0x5831aba3288d2651,,
Toyosu Wholesale Fish Market,,https://www.google.com/maps/place/Toyosu+Wholesale+Fish+Market/data=!4m2!3m1!1s0x601889f8cfbb8f5b:0xd6bfad0e525033dc,,
Tsukiji Outer Market,,https://www.google.com/maps/place/Tsukiji+Outer+Market/data=!4m2!3m1!1s0x60188b21cd0b675b:0xa26e24a1bf97025c,,
Isetan Shinjuku,,https://www.google.com/maps/place/Isetan+Shinjuku/data=!4m2!3m1!1s0x60188cdba56b3bf7:0x8b741cc73341edb5,,
Nakano Broadway,,https://www.google.com/maps/place/Nakano+Broadway/data=!4m2!3m1!1s0x6018f290b2ddee83:0xe1b67e4ee0eff0be,,
Kyu Asakura House,,https://www.google.com/maps/place/Kyu+Asakura+House/data=!4m2!3m1!1s0x60188b4f65cb423d:0xa4caa0d8de04ffb2,,
Oedo Antique Market,,https://www.google.com/maps/place/Oedo+Antique+Market/data=!4m2!3m1!1s0x60188b0039091b79:0xb9da91305adb9be0,,
YAYOI KUSAMA Museum,,https://www.google.com/maps/place/YAYOI+KUSAMA+Museum/data=!4m2!3m1!1s0x60188d1154a095f7:0x2ea9f62442a58ae6,,
Yoyogi Park,,https://www.google.com/maps/place/Yoyogi+Park/data=!4m2!3m1!1s0x60188cb479620a33:0x34bcc78ce7f8bf3e,,
Kappabashi Hondōri Shopping Street,,https://www.google.com/maps/place/Kappabashi+Hond%C5%8Dri+Shopping+Street/data=!4m2!3m1!1s0x60188ebfd14153f5:0xaf34af5f45007a8e,,
Shinjuku Gyoen National Garden,,https://www.google.com/maps/place/Shinjuku+Gyoen+National+Garden/data=!4m2!3m1!1s0x60188cc21b93233f:0x6a1eb1b5a117f287,,
Shibuya Scramble Crossing,,https://www.google.com/maps/place/Shibuya+Scramble+Crossing/data=!4m2!3m1!1s0x60188bcaeb0cd12b:0x20e563a2e0aec969,,
Sensō-ji,,https://www.google.com/maps/place/Sens%C5%8D-ji/data=!4m2!3m1!1s0x60188ec1a4463df1:0x6c0d289a8292810d,,
