Title,Note,URL,Tags,Comment
,,,,
G.B.Gafas SHIBUYA,,https://www.google.com/maps/place/G.B.Gafas+SHIBUYA/data=!4m2!3m1!1s0x60188ca66e115555:0xf525bc5b284b8ec2,,
Sushi Iwao,,https://www.google.com/maps/place/Sushi+Iwao/data=!4m2!3m1!1s0x60188dec6ef9a677:0xf8aeee4835bb7229,,
Chūka Soba Ginza Hachigo,,https://www.google.com/maps/place/Ch%C5%ABka+Soba+Ginza+Hachigo/data=!4m2!3m1!1s0x60188be664634e5f:0xb960da45f432b5da,,
Jojoen,,https://www.google.com/maps/place/Jojoen/data=!4m2!3m1!1s0x60188be60fe73be5:0x7e8569b17ad71aef,,
Kirimugiya Jinroku,,https://www.google.com/maps/place/Kirimugiya+Jinroku/data=!4m2!3m1!1s0x60188ce9d14ecc6f:0x66eff19972ecfcdf,,
Ginza Sand,,https://www.google.com/maps/place/Ginza+Sand/data=!4m2!3m1!1s0x60188b4924177eab:0xdc480e117dcbd80,,
PEANUTS Cafe SUNNY SIDE kitchen,,https://www.google.com/maps/place/PEANUTS+Cafe+SUNNY+SIDE+kitchen/data=!4m2!3m1!1s0x60188d1c597b5c7f:0x8961dde21c49028a,,
Takeshita Street Square,,https://www.google.com/maps/place/Takeshita+Street+Square/data=!4m2!3m1!1s0x60188cbb2461011b:0x75e49439227a27d3,,
La Blanche,,https://www.google.com/maps/place/La+Blanche/data=!4m2!3m1!1s0x60188b5ef6ed245b:0xee50bed363e62056,,
Kurkku Fields,,https://www.google.com/maps/place/Kurkku+Fields/data=!4m2!3m1!1s0x60180949bdd49f1b:0x617bb5df7ae332f3,,
Yebisu Garden Place,,https://www.google.com/maps/place/Yebisu+Garden+Place/data=!4m2!3m1!1s0x60188b15da62b4dd:0x121891b13f05c5b0,,
Shunju Yurari Ebisu,,https://www.google.com/maps/place/Shunju+Yurari+Ebisu/data=!4m2!3m1!1s0x60188b4069ca5a21:0x9e20ca706b20e8d9,,
Shunju,,https://www.google.com/maps/place/Shunju/data=!4m2!3m1!1s0x6018f3442a1264c3:0x782dec9fe5e3b0fb,,
Shunju Shibuya,,https://www.google.com/maps/place/Shunju+Shibuya/data=!4m2!3m1!1s0x60188caa2b7ef465:0x5903c5759b232974,,
Aoyama Farmers Market,,https://www.google.com/maps/place/Aoyama+Farmers+Market/data=!4m2!3m1!1s0x60188b5f64df2ead:0xa344a6a5ed39a554,,
WE ARE THE FARM 恵比寿,,https://www.google.com/maps/place/WE+ARE+THE+FARM+%E6%81%B5%E6%AF%94%E5%AF%BF/data=!4m2!3m1!1s0x60188b43e89c0001:0x9d32f70e85ef53f3,,
CIBI Tokyo Store,,https://www.google.com/maps/place/CIBI+Tokyo+Store/data=!4m2!3m1!1s0x60188dd240378b0f:0x604f19050532fb35,,
Omoide Yokocho,,https://www.google.com/maps/place/Omoide+Yokocho/data=!4m2!3m1!1s0x60188cd7058ad73f:0x908f55935cc13cd3,,
Shinjuku Golden-Gai,,https://www.google.com/maps/place/Shinjuku+Golden-Gai/data=!4m2!3m1!1s0x60188cd96586b9af:0x71a5c0e1150c1a8f,,
Toyosu Wholesale Fish Market,,https://www.google.com/maps/place/Toyosu+Wholesale+Fish+Market/data=!4m2!3m1!1s0x601889f8cfbb8f5b:0xd6bfad0e525033dc,,
Tsukiji Outer Market,,https://www.google.com/maps/place/Tsukiji+Outer+Market/data=!4m2!3m1!1s0x60188b21cd0b675b:0xa26e24a1bf97025c,,
Isetan Shinjuku,,https://www.google.com/maps/place/Isetan+Shinjuku/data=!4m2!3m1!1s0x60188cdba56b3bf7:0x8b741cc73341edb5,,
Nakano Broadway,,https://www.google.com/maps/place/Nakano+Broadway/data=!4m2!3m1!1s0x6018f290b2ddee83:0xe1b67e4ee0eff0be,,
Oedo Antique Market,,https://www.google.com/maps/place/Oedo+Antique+Market/data=!4m2!3m1!1s0x60188b0039091b79:0xb9da91305adb9be0,,
Harmonica Yokocyo,,https://www.google.com/maps/place/Harmonica+Yokocyo/data=!4m2!3m1!1s0x6018ee47de52fe63:0x46e254ba2c7e146d,,
