Title,Note,URL,Tags,Comment
,,,,
Hokkaido Sapporo Ramen,,https://www.google.com/maps/place/Hokkaido+Sapporo+Ramen/data=!4m2!3m1!1s0x60188b00685a08ad:0x6d87359987f6d3d0,,
Nakajima Tea House,,https://www.google.com/maps/place/Nakajima+Tea+House/data=!4m2!3m1!1s0x60188bdb1985c351:0x31cf1342e273239e,,
Gluten Free Kushiage Su,,https://www.google.com/maps/place/Gluten+Free+Kushiage+Su/data=!4m2!3m1!1s0x60188b040ec47beb:0x547bfdda41b4de2f,,
Teuchi Toru Soba,,https://www.google.com/maps/place/Teuchi+Toru+Soba/data=!4m2!3m1!1s0x600107cd9402bed9:0xf5e48959f8f3b92c,,
Teppan Tavern Tenamonya,,https://www.google.com/maps/place/Teppan+Tavern+Tenamonya/data=!4m2!3m1!1s0x600108c396790f49:0x688064c8571a2098,,
Gluten Free T's Kitchen Ueno-hirokoji,,https://www.google.com/maps/place/Gluten+Free+T's+Kitchen+Ueno-hirokoji/data=!4m2!3m1!1s0x60188da8e5f03635:0x2900023ca57ac9f2,,
Gluten Free T’s Kitchen,,https://www.google.com/maps/place/Gluten+Free+T%E2%80%99s+Kitchen/data=!4m2!3m1!1s0x60188b30fb71129d:0xbdd904a1df2db4d,,
Rizlabo Kitchen,,https://www.google.com/maps/place/Rizlabo+Kitchen/data=!4m2!3m1!1s0x60188ca21d3193d9:0x9127dcb2b56f681e,,
NachuRa Gluten Free Cafe,,https://www.google.com/maps/place/NachuRa+Gluten+Free+Cafe/data=!4m2!3m1!1s0x60188d51f3a26687:0x8c028ecda2f62543,,
Shochikuen Cafe,,https://www.google.com/maps/place/Shochikuen+Cafe/data=!4m2!3m1!1s0x60188f3556ba1da3:0xc83c4f9250dcede,,
Tudore Tranquility,,https://www.google.com/maps/place/Tudore+Tranquility/data=!4m2!3m1!1s0x6018f34ed499911d:0x29d702de3a407eef,,
