Title,Note,URL,Tags,Comment
,,,,
Wazuka-cha Cafe,,https://www.google.com/maps/place/Wazuka-cha+Cafe/data=!4m2!3m1!1s0x60013f82372a5ec3:0x12f1dcdd026efa24,,
Fukujuen Kyoto Main Store,,https://www.google.com/maps/place/Fukujuen+Kyoto+Main+Store/data=!4m2!3m1!1s0x60010896ee0bffff:0x7ddf3a23a11cae8a,,
Kaiten Sushi Ginza Onodera,,https://www.google.com/maps/place/Kaiten+Sushi+Ginza+Onodera/data=!4m2!3m1!1s0x60188dd122b193c9:0x30641d8efc7d0a5b,,
MANDARACHA - 曼荼羅茶,,https://www.google.com/maps/place/MANDARACHA+-+%E6%9B%BC%E8%8D%BC%E7%BE%85%E8%8C%B6/data=!4m2!3m1!1s0x600109237a4863ef:0x8ecc853ee4160ce3,,
OttersFamily Otter Petting,,https://www.google.com/maps/place/OttersFamily+Otter+Petting/data=!4m2!3m1!1s0x60188d4648d226cf:0x5dc04c5680ee6daa,,
Sukiyabashi Jiro,,https://www.google.com/maps/place/Sukiyabashi+Jiro/data=!4m2!3m1!1s0x60188be5bfbdbc55:0xea447f83d867065,,
Kaitenzushi Nemuro Hanamaru Ginza,,https://www.google.com/maps/place/Kaitenzushi+Nemuro+Hanamaru+Ginza/data=!4m2!3m1!1s0x60188ba22930f771:0xf7a3d4b793ed6367,,
Sushi Dai,,https://www.google.com/maps/place/Sushi+Dai/data=!4m2!3m1!1s0x6018895cee3a4073:0x3817ca91164275e1,,
Sushidai,,https://www.google.com/maps/place/Sushidai/data=!4m2!3m1!1s0x60188bd912580d23:0xb04b74ce2a2f6875,,
Daiwa Sushi,,https://www.google.com/maps/place/Daiwa+Sushi/data=!4m2!3m1!1s0x60188bd93b027ad9:0x6447b8d96664e996,,
Sushi Dai,,https://www.google.com/maps/place/Sushi+Dai/data=!4m2!3m1!1s0x60188bd93b55a313:0xdecc8a1971af2252,,
Sushi Kokoro,,https://www.google.com/maps/place/Sushi+Kokoro/data=!4m2!3m1!1s0x60188c5a5809b287:0x1fe633a76e1241d7,,
Sushi Yoshitake,,https://www.google.com/maps/place/Sushi+Yoshitake/data=!4m2!3m1!1s0x60188be8ee6d5f4d:0x878757ad6adcde6d,,
The Restaurant,,https://www.google.com/maps/place/The+Restaurant/data=!4m2!3m1!1s0x60188bb95ddbb72f:0x3aa50e656249e580,,
Nishiazabu Taku,,https://www.google.com/maps/place/Nishiazabu+Taku/data=!4m2!3m1!1s0x60188b7ad737211d:0x4c922062a5676269,,
Sushi no Midori Shibuya,,https://www.google.com/maps/place/Sushi+no+Midori+Shibuya/data=!4m2!3m1!1s0x60188b57cdb8d5bb:0x5f3488310a317d5e,,
Sushi Sho,,https://www.google.com/maps/place/Sushi+Sho/data=!4m2!3m1!1s0x465f9d6ff2555555:0x133ad2b21d7c66ad,,
Kanesaka,,https://www.google.com/maps/place/Kanesaka/data=!4m2!3m1!1s0x60188be7d7f8b7e1:0xb79b886af40ac3fb,,
Hakkoku,,https://www.google.com/maps/place/Hakkoku/data=!4m2!3m1!1s0x60188be60240803d:0x9bd3a0a67f42034f,,
Udatsu Sushi,,https://www.google.com/maps/place/Udatsu+Sushi/data=!4m2!3m1!1s0x60188ba9c1c73cef:0xb1e2d4de0a6b9a0c,,
Sushisho Masa,,https://www.google.com/maps/place/Sushisho+Masa/data=!4m2!3m1!1s0x60188b700acb1089:0x3487ed89edac8088,,
Sushi Ya,,https://www.google.com/maps/place/Sushi+Ya/data=!4m2!3m1!1s0x60188bef00000001:0x65fecf7539b7332b,,
Yoshida,,https://www.google.com/maps/place/Yoshida/data=!4m2!3m1!1s0x6018f39948447383:0x4dfa751a80851a15,,
Nihombashi Kakigaracho Sugita,,https://www.google.com/maps/place/Nihombashi+Kakigaracho+Sugita/data=!4m2!3m1!1s0x60188944e34c0001:0xdccacbe0840f113,,
Sushi m,,https://www.google.com/maps/place/Sushi+m/data=!4m2!3m1!1s0x60188b1bcd475c1f:0xc975b7b42273ecf,,
