Title,Note,URL,Tags,Comment
,,,,
Wazuka-cha Cafe,,https://www.google.com/maps/place/Wazuka-cha+Cafe/data=!4m2!3m1!1s0x60013f82372a5ec3:0x12f1dcdd026efa24,,
Fukujuen Kyoto Main Store,,https://www.google.com/maps/place/Fukujuen+Kyoto+Main+Store/data=!4m2!3m1!1s0x60010896ee0bffff:0x7ddf3a23a11cae8a,,
MANDARACHA - 曼荼羅茶,,https://www.google.com/maps/place/MANDARACHA+-+%E6%9B%BC%E8%8D%BC%E7%BE%85%E8%8C%B6/data=!4m2!3m1!1s0x600109237a4863ef:0x8ecc853ee4160ce3,,
Kaiten Sushi Ginza Onodera,,https://www.google.com/maps/place/Kaiten+Sushi+Ginza+Onodera/data=!4m2!3m1!1s0x60188dd122b193c9:0x30641d8efc7d0a5b,,
Ippodo Tea Kyoto Main Store,,https://www.google.com/maps/place/Ippodo+Tea+Kyoto+Main+Store/data=!4m2!3m1!1s0x6001088c136aa771:0xd15e0ef5d39417d8,,
Nakajima Tea House,,https://www.google.com/maps/place/Nakajima+Tea+House/data=!4m2!3m1!1s0x60188bdb1985c351:0x31cf1342e273239e,,
THE MUSIC BAR -CAVE SHIBUYA-,,https://www.google.com/maps/place/THE+MUSIC+BAR+-CAVE+SHIBUYA-/data=!4m2!3m1!1s0x60188dc190c39e49:0xf1a7ffe95f92120c,,
PEANUTS Cafe SUNNY SIDE kitchen,,https://www.google.com/maps/place/PEANUTS+Cafe+SUNNY+SIDE+kitchen/data=!4m2!3m1!1s0x60188d1c597b5c7f:0x8961dde21c49028a,,
RICEHACK GlutenfreeBakery,,https://www.google.com/maps/place/RICEHACK+GlutenfreeBakery/data=!4m2!3m1!1s0x60188d86787ffdd3:0x9b6593524882c71,,
Ippodo Tea Tokyo Marunouchi,,https://www.google.com/maps/place/Ippodo+Tea+Tokyo+Marunouchi/data=!4m2!3m1!1s0x60188bf05efd620b:0xe72035cda98c85ab,,
nanaha jiyugaoka,,https://www.google.com/maps/place/nanaha+jiyugaoka/data=!4m2!3m1!1s0x6018f5e58bc9b8cd:0xb1e5a852b2c56a87,,
Kyoto Saryo-suisen Shinjuku Branch,,https://www.google.com/maps/place/Kyoto+Saryo-suisen+Shinjuku+Branch/data=!4m2!3m1!1s0x60188d212a9fe6b9:0x1875e065f82eb331,,
Wasachi,,https://www.google.com/maps/place/Wasachi/data=!4m2!3m1!1s0x60188b002d7dc83b:0xb4d5f40444b55e32,,
ATELIER MATCHA,,https://www.google.com/maps/place/ATELIER+MATCHA/data=!4m2!3m1!1s0x6018898cfbbd050b:0x1580351502597400,,
Saten Japanese Tea,,https://www.google.com/maps/place/Saten+Japanese+Tea/data=!4m2!3m1!1s0x6018efa19087dcfd:0x2536abbba2973291,,
HIGASHIYA GINZA,,https://www.google.com/maps/place/HIGASHIYA+GINZA/data=!4m2!3m1!1s0x60188be38bd9ba33:0x41c1908dadf7884,,
The Matcha Tokyo Omotesandō,,https://www.google.com/maps/place/The+Matcha+Tokyo+Omotesand%C5%8D/data=!4m2!3m1!1s0x60188dfac3f5b7d7:0x213f7d1da2c40c7d,,
Kagurazaka Saryō,,https://www.google.com/maps/place/Kagurazaka+Sary%C5%8D/data=!4m2!3m1!1s0x60188c5a76bb3091:0x7ba66f802f54d760,,
Nanaya Aoyama,,https://www.google.com/maps/place/Nanaya+Aoyama/data=!4m2!3m1!1s0x60188b5f20f9d365:0xfd79f7e97c7d2459,,
IPPUKU&MATCHA 日本橋店,,https://www.google.com/maps/place/IPPUKU%26MATCHA+%E6%97%A5%E6%9C%AC%E6%A9%8B%E5%BA%97/data=!4m2!3m1!1s0x601889c3de43cf59:0x552e1d7f32d3e4ad,,
Onibus Coffee,,https://www.google.com/maps/place/Onibus+Coffee/data=!4m2!3m1!1s0x60188b49101975bd:0xa4d389d765fd2d94,,
KOFFEE MAMEYA Kakeru,,https://www.google.com/maps/place/KOFFEE+MAMEYA+Kakeru/data=!4m2!3m1!1s0x601889b83f1afdf5:0x1176d9a72e7b10dc,,
