Title,Note,URL,Tags,Comment
,,,,
Gen Yamamoto,,https://www.google.com/maps/place/Gen+Yamamoto/data=!4m2!3m1!1s0x60188b9fa6653a0b:0x7e1e67183fcbccb2,,
SEL OCTAGON TOKYO,,https://www.google.com/maps/place/SEL+OCTAGON+TOKYO/data=!4m2!3m1!1s0x60188bb8dbd9da71:0x34a6f18940d27ab4,,
R3 Club Lounge,,https://www.google.com/maps/place/R3+Club+Lounge/data=!4m2!3m1!1s0x60188bccc56b6113:0x7755bec5a9637910,,
1 OAK TOKYO,,https://www.google.com/maps/place/1+OAK+TOKYO/data=!4m2!3m1!1s0x60188b9df1ed7245:0x855c6b9117ac9408,,
VENT Tokyo,,https://www.google.com/maps/place/VENT+Tokyo/data=!4m2!3m1!1s0x60188c9fda25f571:0x73dea5463710bf6b,,
ZEROTOKYO,,https://www.google.com/maps/place/ZEROTOKYO/data=!4m2!3m1!1s0x60188ddc54c6791f:0xfde3573f1668cad8,,
WARP SHINJUKU,,https://www.google.com/maps/place/WARP+SHINJUKU/data=!4m2!3m1!1s0x60188d1fd43d84bd:0x2e652e2870cab600,,
Night Club Raise,,https://www.google.com/maps/place/Night+Club+Raise/data=!4m2!3m1!1s0x60188bff9d282561:0x4446a4701c51710e,,
Atom Tokyo,,https://www.google.com/maps/place/Atom+Tokyo/data=!4m2!3m1!1s0x60188caa122d0481:0x5261f787f67350d2,,
Zouk Tokyo,,https://www.google.com/maps/place/Zouk+Tokyo/data=!4m2!3m1!1s0x60188bc1d152504f:0xd0a418f4167a9441,,
A10,,https://www.google.com/maps/place/A10/data=!4m2!3m1!1s0x60188b8d0bbc998d:0xdbdb6eb72400c38f,,
BAIA,,https://www.google.com/maps/place/BAIA/data=!4m2!3m1!1s0x60188d2ffa183811:0x51a7cadafb5b9c3a,,
Ginza Sand,,https://www.google.com/maps/place/Ginza+Sand/data=!4m2!3m1!1s0x60188b4924177eab:0xdc480e117dcbd80,,
Shinjuku Golden-Gai,"famed for its narrow, winding alleys & numerous snug taverns.",https://www.google.com/maps/place/Shinjuku+Golden-Gai/data=!4m2!3m1!1s0x60188cd96586b9af:0x71a5c0e1150c1a8f,,
Omoide Yokocho,narrow street of shops and resturants,https://www.google.com/maps/place/Omoide+Yokocho/data=!4m2!3m1!1s0x60188cd7058ad73f:0x908f55935cc13cd3,,
Ginza 300 Bar,cocktails with herbs from farm,https://www.google.com/maps/place/Ginza+300+Bar/data=!4m2!3m1!1s0x60188be65662a4d3:0xba03c6dc8980999f,,
MOGRA,"Mogra is a nightclub located in Akihabara, Tokyo, Japan. The club specializes in DJs that play music associated with otaku culture, including anime, video game, J-pop, and J-core music.",https://www.google.com/maps/place/MOGRA/data=!4m2!3m1!1s0x60188ea71928307d:0xe49b9244dc37e180,,
THE MUSIC BAR -CAVE SHIBUYA-,vinyl bar,https://www.google.com/maps/place/THE+MUSIC+BAR+-CAVE+SHIBUYA-/data=!4m2!3m1!1s0x60188dc190c39e49:0xf1a7ffe95f92120c,,
Kabukicho,nightlife district,https://www.google.com/maps/place/Kabukicho/data=!4m2!3m1!1s0x60188cd84e865c35:0x33418e00dfeefac,,
High Five,,https://www.google.com/maps/place/High+Five/data=!4m2!3m1!1s0x60188beed991b4bd:0x74b1824df56a88e0,,
V2 TOKYO,,https://www.google.com/maps/place/V2+TOKYO/data=!4m2!3m1!1s0x60188b02523a4c31:0xaaa869f9acde8215,,
R2 SUPPER CLUB,,https://www.google.com/maps/place/R2+SUPPER+CLUB/data=!4m2!3m1!1s0x60188b781547259d:0x34293798ef645154,,
TK,,https://www.google.com/maps/place/TK/data=!4m2!3m1!1s0x60188ca900bed58b:0x9afa368e452f3281,,
WOMB,,https://www.google.com/maps/place/WOMB/data=!4m2!3m1!1s0x60188caa14bf5541:0x47a02a52c7050543,,
Heiwa DOBUROKU Kabutocho saké brewery,,https://www.google.com/maps/place/Heiwa+DOBUROKU+Kabutocho+sak%C3%A9+brewery/data=!4m2!3m1!1s0x601889363f706619:0x86094fdde8710de0,,
The Bellwood,,https://www.google.com/maps/place/The+Bellwood/data=!4m2!3m1!1s0x60188d919a94ed57:0xd181559ef4630747,,
